,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
4,12,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
5,3,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
6,15,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
7,2,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
8,8,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
9,24,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
10,20,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
11,22,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
12,31,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
13,28,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
14,45,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
15,0,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
16,21,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
0,7,Dwayne Bacon,SG,6-6,221,1995-08-30,US,2,Florida State
1,5,Nicolas Batum,SF,6-9,230,1988-12-14,FR,11,
2,8,Bismack Biyombo,C,6-8,255,1992-08-28,CD,8,
3,0,Miles Bridges,SF,6-6,225,1998-03-21,US,1,Michigan State
4,31,Joe Chealey,PG,6-3,190,1995-11-01,US,1,College of Charleston
5,4,Devonte' Graham,PG,6-1,195,1995-02-22,US,1,Kansas
6,9,Willy HernangÃ³mez,C,6-11,250,1994-05-27,ES,3,
7,14,Michael Kidd-Gilchrist,PF,6-6,232,1993-09-26,US,7,Kentucky
8,10,Caleb Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
9,11,Cody Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
10,6,Jalen McDaniels,SF,6-10,205,1998-01-31,US,R,San Diego State
11,1,Malik Monk,SG,6-3,200,1998-02-04,US,2,Kentucky
12,3,Terry Rozier,PG,6-1,190,1994-03-17,US,4,Louisville
13,25,P.J. Washington,PF,6-7,230,1998-08-23,US,R,Kentucky
14,2,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
15,40,Cody Zeller,C,7-0,240,1992-10-05,US,6,Indiana
0,5,Marques Bolden,C,6-11,245,1998-04-17,US,R,Duke
1,8,Jordan Clarkson,SG,6-4,194,1992-06-07,US,5,"Tulsa, Missouri"
2,21,Tyler Cook,PF,6-8,255,1997-09-23,US,R,Iowa
3,18,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,6,Saint Mary's
4,3,Andre Drummond,C,6-10,279,1993-08-10,US,7,UConn
5,1,Dante Exum,SG,6-5,214,1995-07-13,AU,4,
6,10,Darius Garland,SG,6-1,192,2000-01-26,US,R,Vanderbilt
7,31,John Henson,C,6-9,219,1990-12-28,US,7,UNC
8,20,Brandon Knight,SG,6-2,182,1991-12-02,US,7,Kentucky
9,0,Kevin Love,PF,6-8,251,1988-09-07,US,11,UCLA
10,55,J.P. Macura,SG,6-5,203,1995-06-05,US,1,Xavier
11,28,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,2,Green Bay
12,31,Matt Mooney,SG,6-3,199,1997-02-07,US,R,"Air Force, South Dakota, Texas Tech"
13,22,Larry Nance,PF,6-7,245,1993-01-01,US,4,Wyoming
14,14,Malik Newman,SG,6-3,190,1997-02-21,US,R,"Mississippi State, Kansas"
15,16,Cedi Osman,SF,6-7,230,1995-04-08,MK,2,
16,4,Kevin Porter,SF,6-4,203,2000-05-04,US,R,USC
17,2,Collin Sexton,PG,6-1,190,1999-01-04,US,1,Alabama
18,13,Tristan Thompson,PF,6-9,254,1991-03-13,CA,8,Texas
19,32,Dean Wade,PF,6-9,228,1996-11-20,US,R,Kansas State
20,41,Ante Å½iÅ¾iÄ‡,C,6-10,266,1997-01-04,HR,2,
0,5,J.J. Barea,PG,5-10,180,1984-06-26,PR,13,Northeastern University
