,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
135,Damion Lee,SG,6-5,210,719625600000,US,2,"Drexel, Louisville"
136,Kevon Looney,C,6-9,222,823564800000,US,4,UCLA
137,Mychal Mulder,SF,6-4,184,771379200000,CA,R,"Vincennes, Kentucky"
138,Jeremy Pargo,PG,6-2,219,511401600000,US,2,Gonzaga
139,Eric Paschall,PF,6-6,255,847065600000,US,R,"Fordham, Villanova"
140,Jordan Poole,SG,6-4,194,929750400000,US,R,Michigan
141,Chasson Randle,PG,6-2,185,728870400000,US,2,Stanford
142,Alen SmailagiÄ‡,C,6-10,215,966556800000,RS,R,
143,Omari Spellman,C,6-8,245,869443200000,US,1,Villanova
144,Juan Toscano-Anderson,SG,6-6,209,734400000000,US,R,Marquette
145,Ryan Anderson,C,6-9,240,578880000000,US,11,California
146,Clint Capela,C,6-10,240,769219200000,CH,5,
147,Tyson Chandler,C,7-0,235,402364800000,US,18,
148,Chris Clemons,SG,5-9,180,869616000000,US,R,Campbell
149,Michael Frazier,SG,6-3,200,763084800000,US,R,Florida
150,Eric Gordon,SF,6-3,215,599011200000,US,11,Indiana
151,James Harden,SG,6-5,220,620092800000,US,10,Arizona State
152,Isaiah Hartenstein,C,7-0,249,894326400000,US,1,
153,Danuel House,SF,6-6,220,739411200000,US,3,Texas A&M
154,William Howard,PF,6-8,207,751507200000,FR,R,
155,Luc Mbah a Moute,PF,6-8,230,526608000000,CM,11,UCLA
156,Ben McLemore,SF,6-3,195,729388800000,US,6,Kansas
157,Austin Rivers,SG,6-3,200,712627200000,US,7,Duke
158,Thabo Sefolosha,PF,6-6,215,452304000000,CH,13,
159,P.J. Tucker,PF,6-5,245,484099200000,US,8,Texas
160,Russell Westbrook,PG,6-3,200,595296000000,US,11,UCLA
161,Patrick Beverley,PG,6-1,180,584668800000,US,7,Arkansas
162,Amir Coffey,SG,6-7,210,866505600000,US,R,Minnesota
163,Paul George,SG,6-8,220,641606400000,US,9,Fresno State
164,JaMychal Green,PF,6-8,227,645926400000,US,5,Alabama
165,Montrezl Harrell,C,6-7,240,759542400000,US,4,Louisville
166,Reggie Jackson,SG,6-3,208,640224000000,IT,8,Boston College
167,Mfiondu Kabengele,C,6-9,250,871516800000,CA,R,Florida State
168,Kawhi Leonard,SF,6-7,225,678153600000,US,8,San Diego State
169,Terance Mann,SF,6-5,215,845596800000,US,R,Florida State
170,Rodney McGruder,SG,6-4,205,680745600000,US,3,Kansas State
171,Johnathan Motley,PF,6-8,230,799545600000,US,2,Baylor
172,Joakim Noah,C,6-11,230,478137600000,US,12,Florida
173,Patrick Patterson,PF,6-8,235,605836800000,US,9,Kentucky
174,Landry Shamet,SG,6-4,190,858211200000,US,1,Wichita State
175,Derrick Walton,PG,6-0,189,796867200000,US,1,Michigan
176,Lou Williams,PG,6-1,175,530755200000,US,14,
177,Ivica Zubac,C,7-0,240,858643200000,BA,3,
178,Kostas Antetokounmpo,PF,6-10,200,879984000000,GR,1,Dayton
179,Avery Bradley,SG,6-3,180,659577600000,US,9,Texas
180,Devontae Cacok,C,6-7,240,844732800000,US,R,UNC Wilmington
181,Kentavious Caldwell-Pope,SG,6-5,204,729993600000,US,6,Georgia
182,Alex Caruso,PG,6-5,186,762393600000,US,2,Texas A&M
183,Quinn Cook,PG,6-1,180,732844800000,US,3,Duke
184,Troy Daniels,SG,6-4,200,679536000000,US,6,VCU
185,Anthony Davis,PF,6-10,253,731808000000,US,7,Kentucky
186,Jared Dudley,PF,6-6,237,489801600000,US,12,Boston College
187,Danny Green,SG,6-6,215,551318400000,US,10,UNC
188,Talen Horton-Tucker,SG,6-4,234,975110400000,US,R,Iowa State
189,Dwight Howard,C,6-10,265,502848000000,US,15,
190,LeBron James,PG,6-9,250,473212800000,US,16,
191,Kyle Kuzma,PF,6-8,221,806544000000,US,2,Utah
192,JaVale McGee,C,7-0,270,569548800000,US,11,Nevada
193,Markieff Morris,PF,6-8,245,620697600000,US,8,Kansas
194,Zach Norvell,SG,6-5,206,881625600000,US,R,Gonzaga
195,Rajon Rondo,PG,6-1,180,509414400000,US,13,Kentucky
196,J.R. Smith,SG,6-6,225,495072000000,US,15,
197,Grayson Allen,SG,6-4,198,813110400000,US,1,Duke
198,Kyle Anderson,SF,6-9,230,748483200000,US,5,UCLA
199,Dillon Brooks,SG,6-7,225,822268800000,CA,2,Oregon
200,Bruno Caboclo,C,6-9,218,811641600000,BR,5,
201,Brandon Clarke,PF,6-8,215,843091200000,CA,R,"San Jose State, Gonzaga"
202,Marko Guduric,SG,6-6,201,794620800000,RS,R,
203,Dusty Hannahs,SG,6-3,210,746928000000,US,1,"Texas Tech, Arkansas"
204,Jaren Jackson,C,6-11,242,937353600000,US,1,Michigan State
205,Josh Jackson,SF,6-8,207,855532800000,US,2,Kansas
206,Tyus Jones,PG,6-0,196,831686400000,US,4,Duke
207,John Konchar,SG,6-5,210,827452800000,US,R,Purdue-Fort Wayne
208,De'Anthony Melton,PG,6-2,200,896313600000,US,1,USC
209,Ja Morant,PG,6-3,174,934243200000,US,R,Murray State
210,Jonas ValanÄiÅ«nas,C,6-11,265,705110400000,LT,7,
211,Yuta Watanabe,SF,6-8,215,782006400000,JP,1,George Washington
212,Bam Adebayo,PF,6-9,255,869184000000,US,2,Kentucky
213,Kyle Alexander,C,6-11,220,845856000000,CA,R,Tennessee
214,Jimmy Butler,SF,6-7,230,621734400000,US,8,Marquette
215,Jae Crowder,PF,6-6,235,647222400000,US,7,Marquette
216,Goran DragiÄ‡,PG,6-3,190,515721600000,SI,11,
217,Udonis Haslem,C,6-8,235,329356800000,US,16,Florida
218,Tyler Herro,SG,6-5,195,948326400000,US,R,Kentucky
219,Solomon Hill,PF,6-6,226,669254400000,US,6,Arizona
220,Andre Iguodala,SF,6-6,215,444096000000,US,15,Arizona
221,Derrick Jones,SF,6-6,210,855964800000,US,3,UNLV
222,Meyers Leonard,C,7-0,260,699148800000,US,7,Illinois
223,Daryl Macon,PG,6-2,185,817603200000,US,1,Arkansas
224,Kendrick Nunn,PG,6-2,190,807408000000,US,R,"Illinois, Oakland"
225,KZ Okpala,PF,6-8,215,925257600000,US,R,Stanford
226,Kelly Olynyk,C,6-11,240,672019200000,CA,6,Gonzaga
227,Duncan Robinson,SG,6-7,215,766972800000,US,1,"Williams, Michigan"
228,Chris Silva,PF,6-8,234,843091200000,GA,R,South Carolina
229,Gabe Vincent,PG,6-3,200,834710400000,US,R,UC Santa Barbara
230,Dion Waiters,SG,6-3,215,692323200000,US,7,Syracuse
231,Justise Winslow,SG,6-6,222,827798400000,US,4,Duke
232,Giannis Antetokounmpo,PF,6-11,242,786672000000,GR,6,
233,Thanasis Antetokounmpo,SF,6-6,219,711417600000,GR,1,
234,Dragan Bender,C,7-0,225,879724800000,BA,3,
235,Eric Bledsoe,PG,6-1,214,629164800000,US,9,Kentucky
236,Sterling Brown,SF,6-5,219,792374400000,US,2,SMU
237,Pat Connaughton,SG,6-5,209,726278400000,US,4,Notre Dame
238,Donte DiVincenzo,SG,6-4,203,854668800000,US,1,Villanova
239,George Hill,PG,6-3,188,515548800000,US,11,IUPUI
240,Ersan Ä°lyasova,PF,6-9,235,548035200000,TR,11,
241,Kyle Korver,SF,6-7,212,353635200000,US,16,Creighton
242,Brook Lopez,C,7-0,282,575856000000,US,11,Stanford
243,Robin Lopez,C,7-0,281,575856000000,US,11,Stanford
244,Frank Mason,PG,5-11,190,765331200000,US,2,Kansas
245,Wesley Matthews,SG,6-4,220,529632000000,US,10,Marquette
246,Khris Middleton,SF,6-7,222,681955200000,US,7,Texas A&M
247,Marvin Williams,PF,6-8,237,519523200000,US,14,UNC
248,D.J. Wilson,PF,6-10,231,824688000000,US,2,Michigan
249,Keita Bates-Diop,PF,6-8,229,822355200000,US,1,Ohio State
250,Malik Beasley,SG,6-4,187,848966400000,US,3,Florida State
251,Jordan Bell,C,6-8,216,789436800000,US,2,Oregon
252,Robert Covington,PF,6-7,209,661132800000,US,6,Tennessee State
253,Allen Crabbe,SF,6-5,212,702777600000,US,6,California
254,Jarrett Culver,SG,6-6,195,919468800000,US,R,Texas Tech
255,Gorgui Dieng,C,6-10,252,632620800000,SN,6,Louisville
256,Jacob Evans,SG,6-4,210,866592000000,US,1,Cincinnati
257,Treveon Graham,SF,6-5,219,751766400000,US,3,VCU
258,Juan HernangÃ³mez,PF,6-9,214,812246400000,ES,3,
259,James Johnson,C,6-7,240,540777600000,US,10,Wake Forest
260,Jake Layman,SF,6-8,209,762998400000,US,3,Maryland
261,Kelan Martin,SF,6-5,230,807408000000,US,R,Butler
262,Jordan McLaughlin,PG,5-11,185,829008000000,US,R,USC
263,Jaylen Nowell,SG,6-4,201,931478400000,US,R,Washington
264,Josh Okogie,SG,6-4,213,904608000000,NG,1,Georgia Tech
265,Naz Reid,C,6-9,264,935625600000,US,R,LSU
266,D'Angelo Russell,PG,6-4,193,825033600000,US,4,Ohio State
267,Jeff Teague,PG,6-3,195,581904000000,US,10,Wake Forest
268,Karl-Anthony Towns,C,6-11,248,816393600000,US,4,Kentucky
269,Jarred Vanderbilt,PF,6-9,214,923097600000,US,1,Kentucky
270,Noah Vonleh,C,6-10,257,809222400000,US,5,Indiana
271,Andrew Wiggins,SF,6-7,197,793497600000,CA,5,Kansas
272,Nickeil Alexander-Walker,SG,6-5,205,904694400000,CA,R,Virginia Tech
273,Lonzo Ball,PG,6-6,190,877910400000,US,2,UCLA
274,Zylan Cheatham,PF,6-5,220,816566400000,US,R,"San Diego State, Arizona State"
275,Derrick Favors,C,6-9,265,679536000000,US,9,Georgia Tech
276,Josh Gray,PG,6-0,180,747532800000,US,1,LSU
277,Josh Hart,SF,6-5,215,794448000000,US,2,Villanova
278,Jaxson Hayes,C,6-11,220,959040000000,US,R,Texas
279,Jrue Holiday,SG,6-3,205,645148800000,US,10,UCLA
280,Brandon Ingram,PF,6-7,190,873158400000,US,3,Duke
281,Frank Jackson,PG,6-3,205,894240000000,US,1,Duke
282,NicolÃ² Melli,C,6-9,236,664848000000,IT,R,
283,E'Twaun Moore,SG,6-3,191,604368000000,US,8,Purdue
284,Jahlil Okafor,C,6-10,270,818985600000,US,4,Duke
285,J.J. Redick,SG,6-3,200,456883200000,US,13,Duke
286,Sindarius Thornwell,SF,6-5,215,784857600000,US,2,South Carolina
287,Kenrich Williams,PF,6-6,210,786326400000,US,1,TCU
288,Zion Williamson,PF,6-6,284,962841600000,US,R,Duke
289,Kadeem Allen,PG,6-1,200,727056000000,US,2,Arizona
290,RJ Barrett,SG,6-6,214,960940800000,CA,R,Duke
291,Ignas Brazdeikis,SF,6-6,221,915753600000,LT,R,Michigan
292,Reggie Bullock,SG,6-6,205,669081600000,US,6,UNC
293,Damyean Dotson,SG,6-5,210,768182400000,US,2,"Oregon, Houston"
294,Wayne Ellington,SG,6-4,207,565142400000,US,10,UNC
295,Taj Gibson,C,6-9,232,488419200000,US,10,USC
296,Maurice Harkless,SF,6-7,220,737078400000,US,7,St. John's
297,Kevin Knox,SF,6-7,215,934329600000,US,1,Kentucky
298,Marcus Morris,SF,6-8,218,620697600000,US,8,Kansas
299,Frank Ntilikina,PG,6-4,200,901584000000,BE,2,
300,Elfrid Payton,PG,6-3,195,761875200000,US,5,Louisiana
301,Bobby Portis,PF,6-10,250,792374400000,US,4,Arkansas
302,Julius Randle,PF,6-8,250,786067200000,US,5,Kentucky
303,Mitchell Robinson,C,7-0,240,891388800000,US,1,Western Kentucky
304,Dennis Smith,PG,6-2,205,880416000000,US,2,NC State
305,Allonzo Trier,SG,6-4,200,821836800000,US,1,Arizona
306,Steven Adams,C,6-11,265,743126400000,NZ,6,Pitt
307,Darius Bazley,PF,6-8,208,960768000000,US,R,
308,Deonte Burton,SF,6-4,240,759974400000,US,1,"Marquette, Iowa State"
309,Hamidou Diallo,SF,6-5,202,901843200000,US,1,Kentucky
310,Luguentz Dort,SF,6-3,220,924480000000,CA,R,Arizona State
311,Terrance Ferguson,SF,6-6,190,895363200000,US,2,
312,Danilo Gallinari,PF,6-10,233,587001600000,IT,10,
313,Shai Gilgeous-Alexander,SG,6-5,180,900201600000,CA,1,Kentucky
314,Devon Hall,PG,6-2,215,805075200000,US,R,Virginia
315,Kevin Hervey,PF,6-9,230,836870400000,US,R,UT Arlington
316,Mike Muscala,C,6-10,240,678326400000,US,6,Bucknell
317,Abdel Nader,SF,6-5,225,748915200000,EG,2,"Northern Illinois, Iowa State"
318,Nerlens Noel,C,6-10,220,765936000000,US,5,Kentucky
319,Justin Patton,C,6-11,241,866246400000,US,2,Creighton
320,Chris Paul,PG,6-1,175,484185600000,US,14,Wake Forest
321,Andre Roberson,SF,6-7,210,691804800000,US,5,Colorado
322,Isaiah Roby,PF,6-8,230,886464000000,US,R,Nebraska
323,Dennis SchrÃ¶der,SG,6-1,172,748051200000,DE,6,
324,Al-Farouq Aminu,PF,6-8,220,653875200000,US,9,Wake Forest
325,D.J. Augustin,PG,5-11,183,563500800000,US,11,Texas
326,Mohamed Bamba,C,7-0,231,894931200000,US,1,Texas
327,Khem Birch,C,6-9,233,717638400000,CA,2,"Pitt, UNLV"
328,Michael Carter-Williams,SG,6-5,190,687052800000,US,6,Syracuse
329,Gary Clark,SF,6-6,225,784944000000,US,1,Cincinnati
330,Evan Fournier,SF,6-7,205,720316800000,FR,7,
331,Melvin Frazier,SG,6-5,215,841363200000,US,1,Tulane
332,Markelle Fultz,PG,6-3,209,896400000000,US,2,Washington
333,Aaron Gordon,PF,6-8,235,811209600000,US,5,Arizona
334,Jonathan Isaac,PF,6-11,230,875836800000,US,2,Florida State
335,Wesley Iwundu,SF,6-6,195,787881600000,US,2,Kansas State
336,Amile Jefferson,PF,6-9,222,736732800000,US,1,Duke
337,B.J. Johnson,SF,6-7,200,819504000000,US,1,"Syracuse, La Salle"
338,Vic Law,PF,6-7,200,819331200000,US,R,Northwestern
339,Josh Magette,PG,6-1,160,628214400000,US,1,Alabama-Huntsville
340,Terrence Ross,SG,6-6,206,665712000000,US,7,Washington
341,Nikola VuÄeviÄ‡,C,6-11,260,656726400000,CH,8,USC
342,Trey Burke,PG,6-0,185,721526400000,US,6,Michigan
343,Alec Burks,SG,6-6,214,679968000000,US,8,Colorado
344,Joel Embiid,C,7-0,280,763776000000,CM,3,Kansas
345,James Ennis,SF,6-6,215,646790400000,US,5,Cal State Long Beach
346,Tobias Harris,PF,6-8,226,711158400000,US,8,Tennessee
347,Al Horford,C,6-9,240,518140800000,DO,12,Florida
348,Furkan Korkmaz,SG,6-7,202,869702400000,TR,2,
349,Shake Milton,SG,6-5,205,843696000000,US,1,SMU
350,Raul Neto,PG,6-1,180,706233600000,BR,4,
351,Kyle O'Quinn,C,6-9,250,638409600000,US,7,Norfolk State
352,Norvel Pelle,C,6-10,231,728697600000,AG,R,
353,Josh Richardson,SG,6-5,200,748051200000,US,4,Tennessee
354,Glenn Robinson,SF,6-6,222,757987200000,US,5,Michigan
355,Mike Scott,PF,6-7,237,585014400000,US,7,Virginia
356,Marial Shayok,SG,6-5,198,806716800000,CA,R,"Virginia, Iowa State"
357,Ben Simmons,PG,6-10,240,837820800000,AU,2,LSU
358,Zhaire Smith,SF,6-3,205,928454400000,US,1,Texas Tech
359,Matisse Thybulle,SG,6-5,201,857433600000,US,R,Washington
360,Deandre Ayton,C,6-11,250,901152000000,BS,1,Arizona
361,Aron Baynes,C,6-10,260,534470400000,NZ,7,Washington State
362,Jonah Bolden,C,6-8,220,820540800000,AU,1,UCLA
363,Devin Booker,SG,6-5,206,846633600000,US,4,Kentucky
364,Mikal Bridges,SF,6-6,209,841363200000,US,1,Villanova
365,Jevon Carter,PG,6-1,200,811036800000,US,1,West Virginia
366,Cheick Diallo,C,6-8,219,842572800000,ML,3,Kansas
367,Jared Harper,PG,5-11,175,874195200000,US,R,Auburn
368,Ty Jerome,SG,6-5,195,868320000000,US,R,Virginia
369,Cameron Johnson,PF,6-8,210,825811200000,US,R,"Pitt, UNC"
370,Tyler Johnson,PG,6-3,186,705196800000,US,5,Fresno State
371,Frank Kaminsky,C,7-0,240,733881600000,US,4,Wisconsin
372,Jalen Lecque,SG,6-3,185,960854400000,US,R,
373,Elie Okobo,PG,6-3,190,877564800000,FR,1,
374,Kelly Oubre,SF,6-7,203,818467200000,US,4,Kansas
375,Tariq Owens,PF,6-10,205,804470400000,US,R,"Tennessee, St. John's, Texas Tech"
376,Cameron Payne,SG,6-3,190,776304000000,US,4,Murray State
377,Ricky Rubio,PG,6-3,190,656467200000,ES,8,
378,Dario Å ariÄ‡,PF,6-10,225,765763200000,HR,3,
379,Jaylen Adams,PG,6-2,190,831168000000,US,1,St. Bonaventure
380,Carmelo Anthony,PF,6-8,238,454636800000,US,16,Syracuse
381,Moses Brown,C,7-2,245,939772800000,US,R,UCLA
382,Zach Collins,PF,6-11,250,879897600000,US,2,Gonzaga
383,Mario Hezonja,PF,6-8,220,793670400000,HR,4,
384,Jaylen Hoard,PF,6-8,216,922752000000,FR,R,Wake Forest
385,Rodney Hood,SF,6-8,208,719539200000,US,5,"Mississippi State, Duke"
386,Skal LabissiÃ¨re,C,6-10,235,827107200000,HT,3,Kentucky
387,Damian Lillard,PG,6-2,195,648000000000,US,7,Weber State
388,Nassir Little,PF,6-5,220,950227200000,US,R,UNC
389,CJ McCollum,SG,6-3,190,685238400000,US,6,Lehigh
390,Jusuf NurkiÄ‡,C,7-0,290,777600000000,BA,5,
391,Anfernee Simons,SG,6-3,181,928800000000,US,1,
392,Gary Trent,SF,6-5,209,916617600000,US,1,Duke
393,Hassan Whiteside,C,7-0,265,613699200000,US,7,Marshall
394,Trevor Ariza,SF,6-8,215,488937600000,US,15,UCLA
395,Marvin Bagley,C,6-11,235,921369600000,US,1,Duke
396,Harrison Barnes,PF,6-8,225,707184000000,US,7,UNC
397,Kent Bazemore,SF,6-4,195,615254400000,US,7,Old Dominion
398,Nemanja Bjelica,PF,6-10,234,579139200000,RS,4,
399,Bogdan BogdanoviÄ‡,SG,6-6,220,714096000000,RS,2,
400,Corey Brewer,PF,6-9,186,510364800000,US,12,Florida
401,Dewayne Dedmon,C,7-0,245,618883200000,US,6,USC
