,Year,Tm,Player,Age,G,MP,PER
0,1999,NJN,Gheorghe Muresan,27,1,1,-90.6
1,2016,IND,Shayne Whittington,24,1,2,-64.6
2,1979,DET,Ron Behagen,28,1,1,-60.3
3,2001,CLE,Larry Robinson,33,1,1,-54.4
4,2006,DEN,Nene Hilario,23,1,3,-54.4
5,1987,ATL,Michael Wilson,27,2,2,-49.6
6,2007,NJN,Mile Ilic,22,5,6,-48.6
7,1999,TOR,LaMark Baker,29,1,2,-46.6
8,1989,SEA,Mike Champion,24,2,4,-43.7
9,2015,UTA,Toure' Murry,25,1,1,-41.7
10,2007,LAC,Von Wafer,21,1,1,-40.7
11,2014,CHA,James Southerland,23,1,3,-40.6
12,1989,SAS,John Stroeder,30,1,2,-38.8
13,2010,CLE,Coby Karl,26,3,5,-38.1
14,1995,NJN,Yinka Dare,22,1,3,-33.9
15,1993,LAC,Alex Stivrins,30,1,1,-32.3
16,1986,PHI,Michael Young,25,2,2,-32.2
17,1986,DET,Ron Crevier,27,2,3,-31.9
18,1986,GSW,Ron Crevier,27,1,1,-31.1
19,1989,LAC,Barry Sumpter,23,1,1,-30.2
20,2013,BOS,Darko Milicic,27,1,5,-30.2
21,1978,CHI,Glenn Hansen,25,2,4,-28.8
22,2006,DEN,Charles Smith,30,1,2,-28.1
23,2003,ATL,Paul Shirley,25,2,5,-28.0
24,2010,BOS,Marcus Landry,24,1,3,-26.8
25,2016,WAS,DeJuan Blair,26,2,12,-26.5
26,2009,PHO,Courtney Sims,25,1,2,-26.0
27,2000,LAC,Mario Bennett,26,1,3,-25.5
28,2016,ORL,Andrew Nicholson,26,1,4,-25.2
29,2016,TOR,Delon Wright,23,2,5,-24.8
30,1988,DEN,Brad Wright,25,2,7,-24.7
31,1989,UTA,Eric White,23,1,2,-24.7
32,2000,CHH,Derek Hood,23,2,4,-24.2
33,2014,PHI,Darius Johnson-Odom,24,3,15,-23.0
34,2016,ATL,Shelvin Mack,25,1,8,-22.8
35,2015,DAL,Ricky Ledo,22,5,11,-22.5
36,1998,CHH,Michael McDonald,28,1,4,-22.1
37,2007,SAC,Vitaly Potapenko,31,3,13,-22.1
38,1990,MIN,Steve Johnson,32,4,17,-21.8
39,1982,MIL,Brad Holland,25,1,9,-21.5
40,2001,DEN,Garth Joseph,27,2,8,-21.3
41,2008,CLE,Demetris Nichols,23,3,14,-20.8
42,2003,NJN,Donny Marshall,30,3,6,-20.7
43,2007,MIL,Chris McCray,22,5,12,-20.7
44,2016,POR,Chris Kaman,33,1,4,-20.5
45,1990,PHI,Lewis Lloyd,30,2,10,-20.4
46,2004,POR,Slavko Vranes,21,1,3,-20.4
47,1987,DET,John Schweitz,26,3,7,-20.3
48,1989,PHO,Winston Crite,23,2,6,-20.3
49,1990,UTA,Jim Les,26,1,6,-20.2
50,1998,CHH,Jeff Grayer,32,1,11,-20.0
51,2001,DAL,Obinna Ekezie,25,4,8,-20.0
52,1997,MIL,Cuonzo Martin,25,3,13,-19.9
53,1995,SEA,Rich King,25,2,6,-19.8
54,2016,MIA,Josh Richardson,22,1,7,-19.8
55,1999,CLE,Litterial Green,28,1,2,-19.7
56,2015,PHI,Malcolm Lee,24,1,2,-19.7
57,1984,PHI,Charles Jones,26,1,3,-19.5
58,2013,DAL,Justin Dentmon,27,2,4,-19.4
59,2008,SEA,Eddie Gill,29,1,5,-18.9
60,1981,WSB,Lewis Brown,25,2,5,-18.6
61,2016,IND,Joseph Young,23,2,4,-18.6
62,2005,HOU,Vin Baker,33,3,13,-18.3
63,2008,MEM,Jeremy Richardson,23,3,15,-18.1
64,2011,SAC,Hassan Whiteside,21,1,2,-17.9
65,1995,SAC,Derrick Phelps,22,3,5,-17.3
66,2003,DET,Don Reid,29,1,10,-17.3
67,1982,DET,Larry Wright,27,1,6,-17.2
68,1990,DET,Ralph Lewis,26,4,6,-17.0
69,1994,UTA,Sean Green,23,1,2,-17.0
70,2015,NOP,Russ Smith,23,6,29,-16.6
71,2014,OKC,Royal Ivey,32,2,5,-16.5
72,1979,CHI,Andre Wakefield,24,2,8,-15.9
73,1999,ORL,Jonathan Kerner,24,1,5,-15.2
74,2000,DEN,Johnny Taylor,25,1,5,-15.2
75,2013,MIN,Will Conroy,30,4,20,-15.2
76,1998,POR,Sean Higgins,29,2,12,-15.1
77,2001,CHH,Terrance Roberson,24,3,13,-15.0
78,1989,IND,Sedric Toney,26,2,9,-14.9
79,1999,PHI,Casey Shaw,23,9,14,-14.9
80,1999,ORL,Gerald Wilkins,35,3,28,-14.8
81,2004,PHO,Cezary Trybanski,24,4,10,-14.8
82,2012,MEM,Brian Skinner,35,1,4,-14.6
83,1999,CHH,Joe Wolf,34,3,12,-14.5
84,2016,DET,Spencer Dinwiddie,22,1,7,-14.4
85,1999,MIN,Paul Grant,25,4,8,-14.3
86,1992,CHI,Chuck Nevitt,32,4,9,-13.6
87,2011,HOU,Hasheem Thabeet,23,2,4,-13.6
88,2016,OKC,Mitch McGary,23,2,16,-13.6
89,1979,PHI,Marlon Redmond,23,4,23,-13.4
90,2004,WAS,Jahidi White,27,1,4,-13.4
91,1979,SDC,Scott Lloyd,26,5,31,-13.2
92,2012,WAS,Hamady N'Diaye,25,3,3,-13.1
93,2008,HOU,Justin Williams,23,1,6,-13.0
94,2005,SEA,Ibo Kutluay,30,5,12,-12.9
95,2016,BOS,R.J. Hunter,22,2,17,-12.9
96,2009,NYK,Cheikh Samb,24,2,8,-12.6
97,1995,PHI,Alaa Abdelnaby,26,3,30,-12.5
98,1996,WSB,Mike Peplowski,25,2,5,-12.5
99,1992,CHH,Tony Massenburg,24,3,13,-12.4
100,2000,CHH,Jason Miskiri,24,1,3,-12.4
101,2005,DAL,Pavel Podkolzin,20,5,10,-12.1
102,2008,CHI,Shannon Brown,22,6,22,-11.8
103,2008,SAC,Lorenzen Wright,32,5,13,-11.7
104,2016,LAC,Pablo Prigioni,38,2,24,-11.7
105,1999,POR,Brian Shaw,32,1,5,-11.6
106,1980,SDC,John Olive,24,1,15,-11.5
107,1981,SEA,John Shumate,28,2,8,-11.5
108,2010,POR,Anthony Tolliver,24,2,4,-11.5
109,1985,SAS,Linton Townes,25,1,8,-11.4
110,1987,LAC,Dwayne Polee,23,1,6,-11.4
111,2015,PHO,Seth Curry,24,2,8,-11.4
112,1996,DEN,Elmore Spencer,26,6,21,-11.2
113,2002,DAL,Darrick Martin,30,3,22,-11.2
114,1994,NJN,Dave Jamerson,26,4,10,-11.1
115,1985,LAL,Earl Jones,24,2,7,-11.0
116,1990,ATL,Mike Williams,26,5,14,-11.0
117,2015,OKC,Grant Jerrett,21,5,25,-11.0
118,1978,KCK,Glenn Hansen,25,3,9,-10.9
119,1985,DET,Dale Wilkinson,24,2,7,-10.9
120,1988,UTA,Darryl Dawkins,31,4,26,-10.6
121,2001,ATL,Sean Colson,25,3,14,-10.6
122,2001,IND,Lari Ketner,23,3,7,-10.6
123,1997,SAC,Lloyd Daniels,29,5,28,-10.5
124,2003,ATL,Brandon Williams,27,6,19,-10.4
125,1998,IND,Etdrick Bohannon,24,5,11,-10.3
126,2008,NJN,Billy Thomas,32,4,8,-10.3
127,2002,IND,Norm Richardson,22,3,4,-10.2
128,1997,CHH,Eric Leckner,30,1,11,-10.1
129,1988,NJN,Johnny Moore,29,1,10,-9.8
130,2002,MIA,Ernest Brown,22,3,21,-9.7
131,1992,SAS,Tony Massenburg,24,1,9,-9.6
132,1992,BOS,Larry Robinson,24,1,6,-9.3
133,2009,CLE,Trey Johnson,24,4,14,-9.3
134,1990,NJN,Rick Carlisle,30,5,21,-9.2
135,2000,DAL,Rodrick Rhodes,26,1,8,-9.2
136,2004,NOH,Tierre Brown,24,3,17,-9.2
137,2004,LAC,Olden Polynice,39,2,12,-9.2
138,1997,UTA,Brooks Thompson,26,2,8,-9.1
139,2002,CHH,Eldridge Recasner,34,1,2,-9.1
140,2003,NOH,Kirk Haston,23,12,57,-9.1
141,2011,PHO,Gani Lawal,22,1,2,-9.1
142,2014,CHI,Jarvis Varnado,25,1,2,-9.1
143,1990,CHI,Clifford Lett,24,4,28,-9.0
144,1992,NYK,Carlton McKinney,27,2,9,-9.0
145,1997,ATL,Derrick Alston,24,2,11,-9.0
146,2003,GSW,A.J. Guyton,24,2,9,-9.0
147,2004,DEN,Mark Pope,31,4,20,-9.0
148,1992,NYK,Patrick Eddie,24,4,13,-8.8
149,1993,ATL,Andre Spencer,28,3,15,-8.8
150,1999,DAL,Bruno Sundov,18,3,11,-8.8
151,2014,OKC,Mustafa Shakur,29,3,11,-8.8
152,2008,CHI,Cedric Simmons,22,7,19,-8.7
153,1993,MIN,Mark Randall,25,2,8,-8.6
154,2009,LAL,Sun Yue,23,10,28,-8.6
155,1999,IND,Mark Pope,26,4,26,-8.5
156,1984,SDC,Hutch Jones,24,4,18,-8.4
157,2003,SAS,Mengke Bateer,27,12,46,-8.4
158,2009,POR,Martell Webster,22,1,5,-8.4
159,2001,DAL,Bill Curley,28,5,15,-8.3
160,2007,UTA,Roger Powell,24,3,13,-8.3
161,2009,SAC,Cedric Simmons,23,7,23,-8.3
162,2014,SAC,Royce White,22,3,9,-8.3
163,1990,SAC,Greg Stokes,26,11,34,-8.2
164,2016,DET,Reggie Bullock,24,4,25,-8.2
165,2004,DAL,Mamadou N'Diaye,28,3,7,-8.1
166,2005,NOH,Lonny Baxter,26,4,36,-8.0
167,2016,TOR,Norman Powell,22,3,10,-8.0
168,1994,ORL,Anthony Cook,26,2,2,-7.9
169,2004,GSW,Popeye Jones,33,5,10,-7.8
170,2016,UTA,Elijah Millsap,28,5,26,-7.8
171,1985,MIL,Mark West,24,1,6,-7.7
172,2004,DET,Hubert Davis,33,3,23,-7.7
173,2013,MEM,Dexter Pittman,24,7,20,-7.7
174,1985,MIL,Lorenzo Romar,26,4,16,-7.6
175,1989,POR,Rolando Ferreira,24,12,34,-7.6
176,1999,DEN,Monty Williams,27,1,6,-7.6
177,2009,TOR,Nathan Jawai,22,6,19,-7.6
178,2015,LAL,Julius Randle,20,1,14,-7.5
179,1985,DAL,Howard Carter,23,11,66,-7.4
180,1983,LAL,Billy Ray Bates,26,4,27,-7.3
181,1997,SEA,Elmore Spencer,27,1,5,-7.3
182,1998,TOR,Bob McCann,33,1,5,-7.3
183,2012,UTA,Blake Ahearn,27,4,30,-7.3
184,2016,OKC,Kyle Singler,27,6,73,-7.3
185,1978,KCK,Andre McCarter,24,1,9,-7.2
186,1997,GSW,Clifford Rozier,24,1,5,-7.2
187,1999,ORL,Miles Simon,23,5,19,-7.2
188,2004,MIA,Kirk Penney,23,2,18,-7.2
189,1978,SEA,Dean Tolson,26,1,7,-7.1
190,1985,DET,Terry Teagle,24,2,5,-7.1
191,1986,LAC,Ozell Jones,25,3,18,-7.1
192,1987,BOS,Andre Turner,22,3,18,-7.1
193,1997,SAS,Devin Gray,24,3,24,-7.1
194,1998,POR,Dontonio Wingfield,23,3,9,-7.1
195,1994,UTA,Aaron Williams,22,6,12,-7.0
196,1987,SAC,Jerry Eaves,27,3,26,-6.9
197,1982,POR,Carl Bailey,23,1,7,-6.8
198,1990,PHI,Dexter Shouse,26,3,18,-6.8
199,1991,CLE,Mike Woodson,32,4,46,-6.8
200,2013,NOH,Terrel Harris,25,13,108,-6.8
201,2006,MIN,Nikoloz Tskitishvili,22,5,13,-6.7
202,2013,LAL,Darius Johnson-Odom,23,4,6,-6.7
203,2004,NYK,Cezary Trybanski,24,3,5,-6.6
204,2010,CLE,Cedric Jackson,23,5,10,-6.6
205,1990,PHO,Micheal Williams,23,6,26,-6.5
206,1995,ATL,Fred Vinson,24,5,27,-6.5
207,1998,NJN,Don MacLean,28,9,42,-6.5
208,1999,TOR,Micheal Williams,32,2,15,-6.5
209,2005,NYK,Shandon Anderson,31,1,20,-6.5
210,2014,CLE,Scotty Hopson,24,2,7,-6.5
211,2016,DET,Jodie Meeks,28,2,17,-6.5
212,2011,MIA,Dexter Pittman,22,2,11,-6.4
213,2013,PHI,Shelvin Mack,22,4,7,-6.4
214,2013,LAL,Andrew Goudelock,24,1,6,-6.4
215,2009,MEM,Adonal Foyle,33,1,3,-6.3
216,2010,MIL,Darnell Jackson,24,1,9,-6.3
217,1995,ORL,Keith Tower,24,3,7,-6.2
218,1996,ATL,Tim Kempton,32,3,11,-6.2
219,2001,HOU,Anthony Miller,29,1,3,-6.2
220,2006,IND,Samaki Walker,29,7,22,-6.2
221,2006,NOK,Maciej Lampe,20,2,16,-6.1
222,2013,HOU,Tim Ohlbrecht,24,3,12,-6.1
223,2016,PHI,Robert Covington,25,1,22,-6.1
224,2007,LAC,Luke Jackson,25,3,16,-6.0
225,2013,IND,Dominic McGuire,27,2,12,-6.0
226,1978,SEA,Willie Wise,30,2,10,-5.9
227,1981,GSW,John Mengelt,31,2,11,-5.9
228,1986,SEA,Alex Stivrins,23,3,14,-5.9
229,1983,LAL,Joe Cooper,25,2,11,-5.7
230,1988,DET,Darryl Dawkins,31,2,7,-5.7
231,2013,NYK,Solomon Jones,28,2,26,-5.7
232,1984,PHI,Bruce Kuczenski,22,3,40,-5.6
233,1986,PHI,Voise Winters,23,4,17,-5.6
234,1984,WSB,Michael Wilson,24,6,26,-5.5
235,1986,ATL,Sedric Toney,23,3,24,-5.5
236,1992,CHI,Rory Sparrow,33,4,18,-5.5
237,2004,CHI,Roger Mason,23,3,43,-5.5
238,2006,LAC,Anthony Goldwire,34,3,22,-5.5
239,2011,SAS,Bobby Simmons,30,2,16,-5.5
240,1981,DAL,Monti Davis,22,1,8,-5.4
241,1986,NYK,Butch Carter,27,5,31,-5.4
242,1995,NYK,Greg Kite,33,2,16,-5.4
243,2014,CLE,Arinze Onuaku,26,2,5,-5.3
244,1987,CHI,Darren Daye,26,1,7,-5.2
245,2016,BOS,Terry Rozier,21,3,27,-5.2
246,1986,SAS,Ennis Whatley,23,2,14,-5.1
247,1997,DEN,Melvin Booker,24,5,21,-5.1
248,1998,ORL,Tim Kempton,34,3,15,-5.1
249,2004,PHO,Robert Archibald,23,1,6,-5.1
250,2014,GSW,Dewayne Dedmon,24,4,6,-5.1
251,2015,NOP,Darius Miller,24,5,43,-5.1
252,1985,NJN,Tom LaGarde,29,1,8,-5.0
253,1991,PHI,Tony Harris,23,6,41,-5.0
254,2000,NYK,David Wingate,36,7,32,-5.0
255,2003,DEN,Mark Bryant,37,3,14,-5.0
256,2015,MIA,Andre Dawkins,23,4,22,-5.0
257,1990,NYK,Greg Butler,23,13,33,-4.9
258,2001,MIN,Tom Hammonds,33,7,30,-4.9
259,1989,SAS,Todd Mitchell,22,2,33,-4.8
260,1990,LAC,Andre Turner,25,3,31,-4.8
261,2001,ATL,Pepe Sanchez,23,5,34,-4.8
262,2011,SAC,Antoine Wright,26,7,31,-4.8
263,2012,ORL,Larry Hughes,33,9,114,-4.8
264,1981,DET,Lee Johnson,23,2,10,-4.7
265,1993,BOS,Joe Wolf,28,2,9,-4.7
266,2004,SAS,Alex Garcia,23,2,13,-4.7
267,2006,TOR,Alvin Williams,31,1,10,-4.7
268,1988,CLE,Kannard Johnson,22,4,12,-4.6
269,1992,ORL,Stephen Thompson,23,1,15,-4.6
270,1997,ATL,Anthony Miller,25,1,14,-4.6
271,2005,DAL,Dan Dickau,26,4,16,-4.6
272,1981,SDC,Stan Pietkiewicz,24,6,30,-4.5
273,1998,WAS,Tim Legler,31,8,76,-4.5
274,2004,MEM,Troy Bell,23,6,34,-4.5
275,2011,HOU,DeMarre Carroll,24,5,11,-4.5
276,2013,UTA,Kevin Murphy,22,17,52,-4.5
277,2008,DAL,Maurice Ager,23,12,77,-4.4
278,1986,POR,Brian Martin,23,5,14,-4.3
279,1999,MIN,Trevor Winter,25,1,5,-4.3
280,2004,NJN,Damone Brown,24,3,17,-4.3
281,2005,LAC,Kirk Penney,24,4,12,-4.3
282,2012,NYK,Dan Gadzuric,33,2,13,-4.3
283,1997,MIA,James Scott,24,8,32,-4.1
284,2013,MIA,Jarvis Varnado,24,8,40,-4.1
285,1979,DET,Dennis Boyd,24,5,40,-4.0
286,1980,CLE,Butch Lee,23,3,24,-4.0
287,1988,MIL,Dudley Bradley,30,2,5,-4.0
288,1984,SDC,Kevin Loder,24,1,4,-3.9
289,1994,PHI,Michael Curry,25,10,43,-3.9
290,1997,CHH,Tom Chambers,37,12,83,-3.9
291,2000,ORL,Kiwane Garris,25,3,23,-3.9
292,2009,DEN,Sonny Weems,22,12,55,-3.9
293,2011,NJN,Joe Smith,35,4,25,-3.9
294,2004,CLE,Jelani McCoy,26,2,12,-3.8
295,1994,DEN,Jim Farmer,29,4,29,-3.7
296,1995,NYK,Doug Christie,24,12,79,-3.7
297,1997,WSB,Matt Fish,27,5,7,-3.7
298,2001,GSW,Randy Livingston,25,2,7,-3.7
299,2003,SAC,Mateen Cleaves,25,12,55,-3.7
300,2007,GSW,Renaldo Major,24,1,27,-3.7
301,2010,MIA,Yakhouba Diawara,27,6,44,-3.7
302,1991,PHI,Mario Elie,27,3,20,-3.6
303,2001,SAC,Art Long,28,9,20,-3.6
304,2015,WAS,Glen Rice,24,5,43,-3.6
305,1994,DEN,Roy Marble,27,5,32,-3.5
306,2004,GSW,J.R. Bremer,23,5,40,-3.5
307,2004,NJN,Mikki Moore,28,4,10,-3.5
308,2009,CHI,Demetris Nichols,24,2,5,-3.5
309,1988,MIL,Rickie Winslow,23,7,45,-3.4
310,1994,MIA,Manute Bol,31,8,61,-3.4
311,2005,SAS,Linton Johnson,24,2,15,-3.4
312,2012,DAL,Kelenna Azubuike,28,3,18,-3.4
313,2016,LAC,Cole Aldrich,27,2,7,-3.4
314,1999,MIA,Marty Conlon,31,7,35,-3.3
315,2007,SEA,Andreas Glyniadakis,25,13,81,-3.3
316,2008,SAC,Orien Greene,25,7,61,-3.3
317,2012,MIL,Darington Hobson,24,5,39,-3.3
318,2013,NOH,Donald Sloan,25,3,6,-3.3
319,1995,UTA,Jay Humphries,32,12,149,-3.2
320,2002,ORL,Dee Brown,33,7,65,-3.2
321,2013,BOS,Kris Joseph,24,6,24,-3.2
322,1999,MIA,Mark Davis,25,4,35,-3.1
323,2003,BOS,Mikki Moore,27,3,12,-3.1
324,2015,PHO,Reggie Bullock,23,11,75,-3.1
325,2006,CHI,Randy Livingston,30,5,22,-3.0
326,2009,PHO,Dee Brown,24,2,28,-2.9
327,2012,SAS,Ike Diogu,28,2,14,-2.9
328,1989,PHO,Kenny Gattison,24,2,9,-2.8
329,1999,DEN,Loren Meyer,26,14,70,-2.8
330,1999,ORL,Kevin Ollie,26,1,4,-2.8
331,2001,GSW,John Coker,29,6,32,-2.8
332,2006,MIA,Earl Barron,24,8,45,-2.8
333,1982,CLE,Mel Bennett,27,3,23,-2.7
334,1985,WSB,Tom Sewell,22,21,87,-2.7
335,1996,MIL,Kevin Duckworth,31,8,58,-2.7
336,1978,HOU,John Johnson,30,1,11,-2.6
337,1985,PHO,Rick Robey,29,4,48,-2.6
338,1985,CLE,Campy Russell,33,3,24,-2.6
339,1995,IND,Greg Kite,33,9,61,-2.6
340,2015,UTA,Patrick Christopher,26,4,29,-2.6
341,1995,SAS,Corey Crowder,25,7,29,-2.5
342,1987,MIL,Jerome Henderson,27,6,36,-2.4
343,2003,DAL,Antoine Rigaudeau,31,11,91,-2.4
344,2006,DET,Alex Acker,23,5,35,-2.4
345,2006,MIA,Matt Walsh,23,2,3,-2.4
346,2008,SAS,Keith Langford,24,2,10,-2.4
347,2010,HOU,Will Conroy,27,5,36,-2.4
348,1997,NJN,Vincent Askew,30,1,7,-2.3
349,1999,GSW,Duane Ferrell,33,8,46,-2.3
350,2016,CHI,Cameron Bairstow,25,2,10,-2.3
351,1987,SAS,Forrest McKenzie,23,6,42,-2.2
352,1994,UTA,Dave Jamerson,26,1,4,-2.2
353,1996,MIN,Charles Smith,28,8,39,-2.2
354,2001,TOR,Tyrone Corbin,38,15,117,-2.2
355,2002,PHO,Charlie Bell,22,5,42,-2.2
356,2003,PHO,Alton Ford,21,11,31,-2.2
357,2010,CHI,Lindsey Hunter,39,13,122,-2.2
358,1993,LAC,Duane Washington,28,4,28,-2.1
359,1995,NYK,Charlie Ward,24,10,44,-2.1
360,2004,GSW,Dan Langhi,26,4,17,-2.1
361,2006,HOU,Maciej Lampe,20,4,12,-2.1
362,2011,SAS,Alonzo Gee,23,5,18,-2.1
363,1980,UTA,Andre Wakefield,25,8,47,-2.0
364,1984,IND,Bruce Kuczenski,22,5,51,-2.0
365,1986,CHI,Ron Brewer,30,4,18,-2.0
366,1996,CHH,Joe Wolf,31,1,18,-2.0
367,2003,SEA,Ronald Murray,23,2,20,-2.0
368,1981,BOS,Wayne Kreklow,24,25,100,-1.9
369,1981,DAL,Austin Carr,32,8,77,-1.9
370,1990,SAS,Chris Welp,26,13,56,-1.9
371,1999,UTA,Chris King,29,8,42,-1.9
372,2001,MIA,Jamal Robinson,27,6,72,-1.9
373,2008,DAL,Jamaal Magloire,29,7,27,-1.9
374,2009,NYK,Malik Rose,34,18,160,-1.9
375,2010,NYK,Eddy Curry,27,7,62,-1.9
376,2013,DAL,Chris Wright,23,3,4,-1.9
377,1985,ATL,Leo Rautins,24,4,12,-1.8
378,1988,DET,Walker Russell,27,1,1,-1.8
379,2007,PHI,Steven Smith,23,8,28,-1.8
380,2014,ATL,Jared Cunningham,22,5,22,-1.8
381,2015,TOR,Bruno Caboclo,19,8,23,-1.8
382,1988,NYK,Rory Sparrow,29,3,52,-1.7
383,1990,MIL,Jerry Sichting,33,1,27,-1.7
384,1998,MIN,Clifford Rozier,25,6,30,-1.7
385,1999,VAN,Carl Herrera,32,4,42,-1.7
386,1999,MIL,Jamie Feick,24,2,3,-1.7
387,2000,BOS,Wayne Turner,23,3,41,-1.7
388,2003,POR,Chris Dudley,37,3,11,-1.7
389,2010,OKC,Antonio Anderson,24,1,15,-1.7
390,2014,GSW,Nemanja Nedovic,22,24,142,-1.7
391,1998,ORL,Donald Royal,31,2,18,-1.6
392,2002,PHI,Matt Geiger,32,4,36,-1.6
393,2006,LAL,Von Wafer,20,16,73,-1.6
394,2008,DEN,Von Wafer,22,21,90,-1.6
395,2015,PHO,A.J. Price,28,5,44,-1.6
396,2016,CHO,Troy Daniels,24,3,12,-1.6
397,1997,IND,Reggie Williams,32,2,33,-1.5
398,1999,PHI,Benoit Benjamin,34,6,33,-1.5
399,2000,DET,Jermaine Jackson,23,7,73,-1.5
400,2004,SAS,Matt Carroll,23,3,22,-1.5
401,2005,UTA,Aleksandar Radojevic,28,12,128,-1.5
402,2009,CHA,Andre Brown,27,4,41,-1.5
403,2009,CHA,Linton Johnson,28,2,13,-1.5
404,2016,UTA,Trey Lyles,20,6,38,-1.5
405,2003,MEM,Cezary Trybanski,23,15,86,-1.4
406,2005,NJN,Elden Campbell,36,10,50,-1.4
407,1995,PHI,Kevin Pritchard,27,5,36,-1.3
408,1997,DEN,Elmer Bennett,26,5,59,-1.3
409,1999,PHI,Scott Williams,30,2,17,-1.3
410,2007,IND,Josh Powell,24,7,64,-1.3
411,2005,HOU,Brandin Knight,23,1,3,-1.2
412,2007,SEA,Randy Livingston,31,4,26,-1.2
413,2011,NYK,Andy Rautins,24,5,24,-1.2
414,2003,BOS,Mark Bryant,37,2,9,-1.1
415,2006,SEA,Noel Felix,24,12,82,-1.1
416,1988,DET,Ron Moore,26,9,25,-1.0
417,1988,POR,Kevin Gamble,22,9,19,-1.0
418,1997,SAS,Tim Kempton,33,10,59,-1.0
419,2004,MEM,Ryan Humphrey,24,2,11,-1.0
420,2008,CLE,Lance Allred,26,3,10,-1.0
421,2014,CLE,Shane Edwards,26,2,12,-1.0
422,2016,PHO,Sonny Weems,29,6,58,-1.0
423,2016,BRK,Donald Sloan,28,2,20,-1.0
424,1985,LAC,Jay Murphy,22,23,149,-0.9
425,1987,POR,Fernando Martin,24,24,146,-0.9
426,1988,NYK,Bob Thornton,25,7,85,-0.9
427,1990,UTA,Raymond Brown,24,16,56,-0.9
428,1994,CLE,Sedric Toney,31,12,64,-0.9
429,1997,DEN,LaSalle Thompson,35,17,105,-0.9
430,2002,MEM,Isaac Fontaine,26,6,75,-0.9
431,2002,NJN,Steve Goodrich,25,9,50,-0.9
432,2012,NOH,Jeff Foote,24,4,39,-0.9
433,1983,DET,Jim Zoet,29,7,30,-0.8
434,1985,CLE,Butch Graves,23,4,11,-0.8
435,1986,DET,Walker Russell,25,1,2,-0.8
436,1988,LAL,Billy Thompson,24,9,38,-0.8
437,1994,PHO,Negele Knight,26,1,8,-0.7
438,2015,MEM,Kalin Lucas,25,1,6,-0.7
439,1979,POR,Lloyd Neal,28,4,48,-0.6
440,1980,PHI,Al Skinner,27,2,10,-0.6
441,1981,CHI,Ollie Mack,23,3,16,-0.6
442,1986,BOS,Sly Williams,28,6,54,-0.6
443,1993,HOU,Mark Acres,30,6,23,-0.6
444,1996,PHO,David Wood,31,4,34,-0.6
445,2001,PHI,Raja Bell,24,5,30,-0.6
446,2016,LAC,Luc Mbah a Moute,29,5,8,-0.6
447,1980,UTA,John Brown,28,4,24,-0.5
448,1991,MIN,Bob Thornton,28,12,110,-0.5
449,1996,PHI,Elmer Bennett,25,8,66,-0.5
450,1998,MIA,Charles Smith,22,11,32,-0.5
451,2001,TOR,Muggsy Bogues,36,3,34,-0.5
452,2007,CLE,Dwayne Jones,23,4,18,-0.5
453,2011,SAS,Othyus Jeffers,25,1,8,-0.5
454,2014,SAS,Shannon Brown,28,10,103,-0.5
455,1991,LAL,Tony Brown,30,7,27,-0.4
456,1992,HOU,Kennard Winchester,25,4,17,-0.4
457,1994,UTA,Luther Wright,22,15,92,-0.4
458,1994,PHI,Bill Edwards,22,3,44,-0.4
459,1999,DET,Mark Macon,29,7,69,-0.4
460,2000,CLE,A.J. Bramlett,23,8,61,-0.4
461,2007,LAC,Will Conroy,24,4,35,-0.4
462,2016,MEM,Vince Carter,39,1,16,-0.4
463,1986,PHO,Mike Holton,24,4,65,-0.3
464,1992,NYK,James Donaldson,34,14,81,-0.3
465,2014,SAC,Orlando Johnson,24,7,50,-0.3
466,1985,ATL,Stewart Granger,23,9,92,-0.2
467,1986,NJN,Rod Higgins,26,2,29,-0.2
468,1990,NYK,Stuart Gray,26,19,94,-0.2
469,1993,NJN,Doug Lee,28,5,33,-0.2
470,1998,WAS,Lawrence Moten,25,8,27,-0.2
471,2005,POR,Maurice Baker,25,4,18,-0.2
472,2010,WAS,Cedric Jackson,23,4,39,-0.2
473,2013,DAL,Eddy Curry,30,2,25,-0.2
474,2007,ATL,Cedric Bozeman,23,23,199,-0.1
475,2009,MIN,Mark Madsen,33,19,116,-0.1
476,2011,NOH,Pops Mensah-Bonsu,27,7,35,-0.1
477,2011,CHI,John Lucas,28,2,10,-0.1
478,1979,MIL,Del Beshore,22,1,1,0.0
479,1985,MIL,Chris Engler,25,1,3,0.0
480,1988,CHI,Tony White,22,2,2,0.0
481,1989,SAS,Keith Smart,24,2,12,0.0
482,1989,CHI,David Wood,24,2,2,0.0
483,1990,LAL,Steve Bucknall,23,18,75,0.0
484,1992,HOU,Dan Godfread,24,1,2,0.0
485,1992,GSW,Billy Thompson,28,1,1,0.0
486,1992,CHH,Cedric Hunter,27,1,1,0.0
487,1996,BOS,Larry Sykes,22,1,2,0.0
488,1997,MIA,Matt Fish,27,1,1,0.0
489,1998,DAL,Adrian Caldwell,31,1,3,0.0
490,1999,WAS,Etdrick Bohannon,25,2,4,0.0
491,1999,TOR,William Cunningham,24,1,1,0.0
492,2000,DAL,Randell Jackson,24,1,1,0.0
493,2001,PHI,Anthony Miller,29,1,2,0.0
494,2001,ATL,Andy Panko,23,1,1,0.0
495,2004,NJN,Hubert Davis,33,14,55,0.0
